delta_t,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,lin_ax,lin_ay,lin_az
0.02,-0.03,0.02,1.06,-0.03,0.01,0.13,1.0,-0.01,0.01,0.04,-0.01,0.03,0.06
0.02,-0.01,-0.01,1.04,0.05,-0.03,0.12,1.0,-0.01,0.01,0.04,0.01,0.01,0.04
0.02,0.0,-0.01,1.01,0.12,-0.06,0.08,1.0,-0.01,0.01,0.04,0.02,0.01,0.01
0.02,-0.01,0.02,0.99,0.03,-0.01,-0.01,1.0,-0.01,0.01,0.04,0.01,0.03,-0.01
0.02,-0.01,0.0,1.03,-0.01,0.12,0.03,1.0,-0.01,0.01,0.04,0.01,0.01,0.03
0.02,-0.01,-0.01,1.03,0.05,0.11,0.06,1.0,-0.01,0.01,0.04,0.01,0.01,0.03
0.02,0.01,0.01,1.0,0.15,0.02,0.04,1.0,-0.01,0.01,0.04,0.03,0.02,0.0
0.02,-0.01,0.04,0.98,0.14,-0.0,-0.07,1.0,-0.0,0.01,0.04,0.01,0.04,-0.02
0.02,-0.02,0.06,0.97,0.04,-0.09,-0.07,1.0,-0.0,0.01,0.04,0.0,0.06,-0.03
0.02,0.02,0.04,0.93,-0.02,-0.16,-0.02,1.0,-0.0,0.01,0.04,0.03,0.04,-0.07
0.02,0.03,0.05,0.89,-0.06,-0.1,-0.06,1.0,-0.0,0.01,0.04,0.05,0.06,-0.11
0.02,0.01,0.09,0.89,-0.15,-0.06,-0.14,1.0,-0.0,0.01,0.04,0.03,0.1,-0.11
0.02,-0.02,0.07,0.92,-0.23,-0.02,-0.12,1.0,-0.01,0.01,0.04,-0.01,0.08,-0.08
0.02,-0.02,-0.0,0.97,-0.24,0.16,0.06,1.0,-0.01,0.01,0.04,-0.0,0.02,-0.03
0.02,-0.01,0.0,1.02,-0.2,0.22,0.02,1.0,-0.01,0.01,0.04,0.01,0.02,0.02
0.02,-0.0,0.02,1.02,-0.15,0.07,-0.03,1.0,-0.01,0.01,0.04,0.02,0.05,0.02
0.02,0.01,0.04,0.98,-0.15,-0.08,-0.09,1.0,-0.01,0.01,0.04,0.03,0.07,-0.02
0.02,-0.02,0.07,0.95,-0.2,-0.03,-0.15,1.0,-0.02,0.01,0.04,-0.01,0.1,-0.05
0.02,-0.03,0.08,0.95,-0.16,0.2,0.0,1.0,-0.02,0.01,0.04,-0.01,0.11,-0.05
0.02,-0.0,0.03,0.99,-0.11,0.48,0.29,1.0,-0.02,0.01,0.04,0.03,0.07,-0.01
0.02,0.0,-0.03,1.03,-0.08,0.37,0.26,1.0,-0.02,0.02,0.04,0.04,0.0,0.03
0.02,-0.0,-0.03,1.03,-0.1,0.15,-0.04,1.0,-0.02,0.02,0.04,0.04,0.01,0.03
0.02,-0.06,0.04,1.01,-0.2,-0.02,-0.28,1.0,-0.02,0.02,0.04,-0.02,0.08,0.01
0.02,-0.05,0.03,0.95,-0.28,-0.14,-0.2,1.0,-0.02,0.02,0.04,-0.01,0.07,-0.05
0.02,-0.03,-0.04,0.96,-0.26,0.17,0.02,1.0,-0.03,0.02,0.04,0.01,0.01,-0.04
0.02,-0.03,-0.06,1.02,-0.18,0.52,0.1,1.0,-0.03,0.02,0.04,0.01,-0.0,0.02
0.02,-0.07,-0.02,1.06,-0.08,0.49,0.04,1.0,-0.03,0.03,0.04,-0.01,0.03,0.06
0.02,-0.12,-0.06,1.1,-0.14,0.23,0.01,1.0,-0.03,0.03,0.04,-0.06,-0.0,0.11
0.02,-0.1,-0.09,1.13,-0.24,0.03,-0.01,1.0,-0.03,0.03,0.04,-0.03,-0.03,0.13
0.02,-0.07,-0.05,1.06,-0.13,-0.17,-0.18,1.0,-0.03,0.03,0.04,-0.01,0.01,0.07
0.02,-0.1,-0.0,0.95,-0.01,-0.23,-0.24,1.0,-0.04,0.03,0.03,-0.04,0.06,-0.04
0.02,-0.11,-0.06,0.96,-0.11,0.12,0.15,1.0,-0.04,0.03,0.03,-0.05,0.01,-0.04
0.02,-0.12,-0.12,1.06,-0.16,0.46,0.39,1.0,-0.04,0.03,0.04,-0.06,-0.05,0.06
0.02,-0.1,-0.18,1.11,0.01,0.45,0.43,1.0,-0.04,0.04,0.04,-0.02,-0.1,0.12
0.02,-0.06,-0.14,1.09,0.22,0.1,0.26,1.0,-0.04,0.04,0.04,0.02,-0.07,0.1
0.02,-0.09,-0.08,1.03,0.15,-0.29,0.02,1.0,-0.04,0.04,0.05,-0.02,-0.02,0.04
0.02,-0.1,-0.06,0.97,0.02,-0.43,-0.02,1.0,-0.03,0.03,0.05,-0.03,0.01,-0.03
0.02,-0.02,-0.09,0.9,0.09,-0.22,0.17,1.0,-0.03,0.03,0.05,0.04,-0.03,-0.1
