delta_t,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,lin_ax,lin_ay,lin_az
0.02,-0.06,-0.03,1.0,0.0,-0.0,-0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.01,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.01
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.12,-0.09,0.79,0.05,-0.07,0.01,1.0,-0.02,0.03,0.03,-0.07,-0.06,-0.21
0.02,-0.03,0.01,1.1,0.19,-0.17,0.0,1.0,-0.02,0.02,0.03,0.02,0.03,0.1
0.02,-0.05,-0.03,0.97,0.15,-0.12,0.01,1.0,-0.01,0.02,0.03,-0.01,-0.01,-0.02
0.02,-0.05,-0.03,1.0,0.2,-0.17,0.03,1.0,-0.01,0.02,0.03,-0.0,-0.01,-0.0
0.02,-0.04,-0.02,1.03,0.13,-0.11,0.04,1.0,-0.01,0.02,0.03,0.01,0.0,0.03
0.02,-0.04,0.01,1.04,0.01,0.0,0.02,1.0,-0.01,0.02,0.03,-0.0,0.03,0.04
0.02,-0.06,-0.01,0.97,-0.18,0.15,-0.0,1.0,-0.01,0.02,0.03,-0.02,0.01,-0.03
0.02,-0.05,-0.04,0.95,0.03,-0.03,0.06,1.0,-0.01,0.02,0.03,-0.0,-0.02,-0.05
0.02,-0.06,-0.03,0.95,0.3,-0.25,0.04,1.0,-0.01,0.02,0.03,-0.02,-0.01,-0.05
0.02,-0.02,-0.01,1.05,0.4,-0.35,0.07,1.0,-0.01,0.02,0.04,0.01,-0.0,0.05
0.02,-0.01,0.02,1.07,0.11,-0.1,0.03,1.0,-0.0,0.01,0.04,0.02,0.02,0.07
0.02,-0.03,0.0,1.01,-0.01,0.01,0.0,1.0,-0.0,0.01,0.04,0.0,0.01,0.01
0.02,-0.03,-0.01,1.0,-0.04,0.04,0.0,1.0,-0.0,0.01,0.04,-0.0,-0.0,-0.0
0.02,-0.04,-0.02,0.96,0.07,-0.06,0.0,1.0,-0.0,0.01,0.04,-0.01,-0.01,-0.04
0.02,-0.03,-0.01,0.99,0.32,-0.3,0.01,1.0,-0.0,0.01,0.04,-0.01,-0.01,-0.01
0.02,-0.01,0.02,1.05,0.21,-0.21,0.01,1.0,0.0,0.01,0.04,0.01,0.01,0.05
0.02,-0.02,0.02,1.02,0.06,-0.05,0.0,1.0,0.0,0.01,0.04,0.0,0.01,0.02
0.02,-0.02,0.01,1.02,-0.0,0.01,0.0,1.0,0.0,0.01,0.04,0.0,0.0,0.02
0.02,-0.02,0.0,0.98,0.01,-0.02,0.0,1.0,0.0,0.01,0.04,-0.01,-0.01,-0.02
0.02,-0.02,0.01,1.0,0.11,-0.1,0.0,1.0,0.0,0.01,0.04,-0.0,-0.0,0.0
